chembl_id,compound_name,SMILES,linked_proteins,num_linked_proteins,num_druggable_proteins,linked_pathways,num_linked_pathways,num_key_pathways,linked_MoAs,approval_phase_max,status_evidence,in_known_drugs,in_moa_kg,source_files,prelim_mechanistic_score,CYP3A4_p_value_0,CYP3A4_p_value_1,CYP3A4_CYP3A4_inhibition,CYP2D6_p_value_0,CYP2D6_p_value_1,CYP2D6_CYP2D6_inhibition,CYP2C9_p_value_0,CYP2C9_p_value_1,CYP2C9_CYP2C9_inhibition,CYP2C19_p_value_0,CYP2C19_p_value_1,CYP2C19_CYP2C19_inhibition,CYP1A2_p_value_0,CYP1A2_p_value_1,CYP1A2_CYP1A2_inhibition,hERG_p_value_0,hERG_p_value_1,hERG_hERG_inhibition,AMES_p_value_0,AMES_p_value_1,AMES_AMES_mutagenic,PGP_p_value_0,PGP_p_value_1,PGP_PGP_inhibition,Solubility_logS,Solubility_logS_lower_bound,Solubility_logS_upper_bound,Solubility_Capped_logS_lower_bound,Solubility_Capped_logS_upper_bound,Lipophilicity_logP,PAMPA_p_value_0,PAMPA_p_value_1,PAMPA_PAMPA_permeability,BBB_p_value_0,BBB_p_value_1,BBB_BBB_penetration,hERG_flag,CYP3A4_inhib_flag,CYP2D6_inhib_flag,CYP2C9_inhib_flag,CYP2C19_inhib_flag,CYP1A2_inhib_flag,PGP_inhib_flag,AMES_flag,poor_solubility_flag,good_solubility_bonus,high_logP_flag,low_logP_flag,good_logP_bonus,low_perm_flag,good_perm_bonus,bbb_penetrant_info,multi_cyp_inhib_count,cyp3a4_inhibitor_flag,DDI_flag,composite_score,confidence
CHEMBL10316,IDAZOXAN,c1ccc2c(c1)OCC(C1=NCCN1)O2,,0,0,"R-HSA-390696|Adrenoceptors;R-HSA-392023|Adrenaline signalling through Alpha-2 adrenergic receptor;R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion;R-HSA-418594|G alpha (i) signalling events;R-HSA-418597|G alpha (z) signalling events;R-HSA-5683826|Surfactant metabolism",6,0,,3.0,Withdrawn,0,0,pathway_drug_candidates,3.0,0.528,0.1,0.0,0.0319,0.68,1.0,0.865,0.00819,0.0,0.238,0.251,0.5,0.188,0.226,0.5,0.361,0.158,0,0.23,0.157,0.0,0.251,0.135,0,-2.27,-3.14,-1.4,-3.14,-1.4,0.8280999999999994,0.506,0.133,0.0,0.245,0.171,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,-1.0,L
CHEMBL1034,DICLOFENAC SODIUM,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],PTGS2,1,1,R-HSA-140180|COX reactions;R-HSA-2142770|Synthesis of 15-eicosatetraenoic acid derivatives;R-HSA-2162123|Synthesis of Prostaglandins (PG) and Thromboxanes (TX);R-HSA-6783783|Interleukin-10 signaling;R-HSA-6785807|Interleukin-4 and Interleukin-13 signaling;R-HSA-73614|Nicotinamide salvaging;R-HSA-9018677|Biosynthesis of DHA-derived SPMs;R-HSA-9018679|Biosynthesis of EPA-derived SPMs;R-HSA-9025094|Biosynthesis of DPAn-3 SPMs;R-HSA-9027604|Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives,10,2,Cyclooxygenase inhibitor,4.0,,0,0,protein_drug_candidates;pathway_drug_candidates;mechanism_drug_candidate,10.0,0.244,0.259,0.5,0.966,0.0141,0.0,0.0936,0.5,1.0,0.522,0.0876,0.0,0.366,0.096,0.0,0.84,0.0285,0,0.651,0.0377,0.0,0.758,0.0538,0,-2.41,-5.32,0.497,-5.32,0.497,0.033399999999999,0.647,0.0632,0.0,0.212,0.237,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,2.0,1.0,1.0,5.0,L
CHEMBL1040,CALCIFEDIOL ANHYDROUS,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,,0,0,R-HSA-196791|Vitamin D (calciferol) metabolism;R-HSA-383280|Nuclear Receptor transcription pathway;R-HSA-4090294|SUMOylation of intracellular receptors,3,0,,3.0,Completed,0,0,pathway_drug_candidates,3.0,0.659,0.057,0.0,0.633,0.0958,0.0,0.535,0.103,0.0,0.724,0.0447,0.0,0.544,0.0542,0.0,0.877,0.0226,0,0.41,0.0983,0.0,0.171,0.195,0.5,-4.52,-4.99,-4.05,-4.99,-4.05,6.733900000000008,0.274,0.417,0.5,0.148,0.529,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.5,L
CHEMBL1042,CHOLECALCIFEROL,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,VDR,1,1,R-HSA-196791|Vitamin D (calciferol) metabolism;R-HSA-383280|Nuclear Receptor transcription pathway;R-HSA-4090294|SUMOylation of intracellular receptors,3,0,Vitamin D receptor agonist,4.0,Recruiting,1,1,known_drugs;pathway_drug_candidates;mechanism_drug_candidate;mechanism_of_actions,7.5,0.709,0.0451,0.0,0.495,0.148,0.0,0.421,0.145,0.0,0.454,0.105,0.0,0.438,0.0728,0.0,0.779,0.0373,0,0.706,0.035,0.0,0.13,0.207,1,-6.01,-6.95,-5.07,-6.95,-5.07,7.619000000000008,0.264,0.457,0.5,0.126,0.423,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,L
CHEMBL1046,AMINOCAPROIC ACID,NCCCCCC(=O)O,,0,0,R-HSA-114608|Platelet degranulation;R-HSA-1474228|Degradation of the extracellular matrix;R-HSA-1592389|Activation of Matrix Metalloproteinases;R-HSA-381426|Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),4,1,Plasminogen inhibitor,4.0,Unknown status,0,0,pathway_drug_candidates;mechanism_drug_candidate,6.0,0.923,0.00813,0.0,0.827,0.0437,0.0,0.644,0.0488,0.0,0.944,0.00928,0.0,0.714,0.0211,0.0,0.949,0.00848,0,0.909,0.0122,0.0,0.659,0.0723,0,-0.72,-2.37,0.932,-2.37,0.932,0.5901000000000001,0.911,0.0131,0.0,0.502,0.031,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.5,L
CHEMBL1064,SIMVASTATIN,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,HMGCR,1,1,R-HSA-191273|Cholesterol biosynthesis;R-HSA-1989781|PPARA activates gene expression;R-HSA-2426168|Activation of gene expression by SREBF (SREBP);R-HSA-9619665|EGR2 and SOX10-mediated initiation of Schwann cell myelination,4,0,HMG-CoA reductase inhibitor,4.0,,1,1,known_drugs;pathway_drug_candidates;mechanism_drug_candidate;mechanism_of_actions,7.5,0.1,0.464,1.0,0.66,0.0833,0.0,0.586,0.0765,0.0,0.594,0.0639,0.0,0.685,0.0242,0.0,0.33,0.178,0,0.266,0.138,0.0,0.0178,0.563,1,-6.25,-8.54,-3.96,-8.54,-3.96,4.585600000000005,0.278,0.395,0.5,0.135,0.476,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,L
CHEMBL1069,VALSARTAN,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,AGTR1,1,1,R-HSA-375276|Peptide ligand-binding receptors;R-HSA-416476|G alpha (q) signalling events;R-HSA-8856825|Cargo recognition for clathrin-mediated endocytosis;R-HSA-8856828|Clathrin-mediated endocytosis,4,0,Type-1 angiotensin II receptor antagonist,4.0,,1,1,known_drugs;pathway_drug_candidates;mechanism_drug_candidate;mechanism_of_actions,7.5,0.628,0.0668,0.0,0.935,0.0143,0.0,0.832,0.0197,0.0,0.845,0.0191,0.0,0.829,0.0137,0.0,0.768,0.0449,0,0.976,0.00601,0.0,0.708,0.0545,0,-3.58,-5.83,-1.33,-5.83,-1.33,4.161700000000002,0.849,0.0171,0.0,0.174,0.262,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.5,M
CHEMBL107,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,TUBB4B,1,1,R-HSA-1445148|Translocation of SLC2A4 (GLUT4) to the plasma membrane;R-HSA-190840|Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane;R-HSA-190861|Gap junction assembly;R-HSA-2132295|MHC class II antigen presentation;R-HSA-2467813|Separation of Sister Chromatids;R-HSA-2500257|Resolution of Sister Chromatid Cohesion;R-HSA-2565942|Regulation of PLK1 Activity at G2/M Transition;R-HSA-3371497|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;R-HSA-380259|Loss of Nlp from mitotic centrosomes;R-HSA-380270|Recruitment of mitotic centrosome proteins and complexes;R-HSA-380284|Loss of proteins required for interphase microtubule organization from the centrosome;R-HSA-380320|Recruitment of NuMA to mitotic centrosomes;R-HSA-389957|Prefoldin mediated transfer of substrate to CCT/TriC;R-HSA-389960|Formation of tubulin folding intermediates by CCT/TriC;R-HSA-389977|Post-chaperonin tubulin folding pathway;R-HSA-437239|Recycling pathway of L1;R-HSA-5610787|Hedgehog 'off' state;R-HSA-5617833|Cilium Assembly;R-HSA-5620912|Anchoring of the basal body to the plasma membrane;R-HSA-5620924|Intraflagellar transport;R-HSA-5626467|RHO GTPases activate IQGAPs;R-HSA-5663220|RHO GTPases Activate Formins;R-HSA-6798695|Neutrophil degranulation;R-HSA-6807878|COPI-mediated anterograde transport;R-HSA-6811434|COPI-dependent Golgi-to-ER retrograde traffic;R-HSA-6811436|COPI-independent Golgi-to-ER retrograde traffic;R-HSA-68877|Mitotic Prometaphase;R-HSA-8852276|The role of GTSE1 in G2/M progression after G2 checkpoint;R-HSA-8854518|AURKA Activation by TPX2;R-HSA-8955332|Carboxyterminal post-translational modifications of tubulin;R-HSA-9609690|HCMV Early Events;R-HSA-9609736|Assembly and cell surface presentation of NMDA receptors;R-HSA-9619483|Activation of AMPK downstream of NMDARs;R-HSA-9646399|Aggrephagy;R-HSA-9648025|EML4 and NUDC in mitotic spindle formation;R-HSA-9668328|Sealing of the nuclear envelope (NE) by ESCRT-III;R-HSA-983189|Kinesins;R-HSA-9833482|PKR-mediated signaling,38,1,Tubulin inhibitor,4.0,,1,1,known_drugs;pathway_drug_candidates;mechanism_drug_candidate;mechanism_of_actions,9.5,0.427,0.139,0.0,0.114,0.453,1.0,0.191,0.339,1.0,0.226,0.251,0.5,0.441,0.0715,0.0,0.818,0.034,0,0.594,0.0539,0.0,0.4,0.121,0,-1.12,-1.93,-0.311,-1.93,-0.311,2.871600000000001,0.917,0.0101,0.0,0.0738,0.673,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,7.5,M
CHEMBL1070,NABUMETONE,COc1ccc2cc(CCC(C)=O)ccc2c1,PTGS2,1,1,R-HSA-2142770|Synthesis of 15-eicosatetraenoic acid derivatives;R-HSA-2162123|Synthesis of Prostaglandins (PG) and Thromboxanes (TX);R-HSA-6783783|Interleukin-10 signaling;R-HSA-6785807|Interleukin-4 and Interleukin-13 signaling;R-HSA-73614|Nicotinamide salvaging;R-HSA-9018677|Biosynthesis of DHA-derived SPMs;R-HSA-9018679|Biosynthesis of EPA-derived SPMs;R-HSA-9025094|Biosynthesis of DPAn-3 SPMs;R-HSA-9027604|Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives,9,2,,4.0,,0,0,protein_drug_candidates;pathway_drug_candidates,10.0,0.0947,0.465,1.0,0.362,0.207,0.5,0.4,0.146,0.0,0.439,0.107,0.0,0.0394,0.579,1.0,0.133,0.302,1,0.835,0.0137,0.0,0.0498,0.261,1,-2.35,-3.79,-0.906,-3.79,-0.906,3.370000000000002,0.544,0.106,0.0,0.16,0.371,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,-2.0,L
CHEMBL1071,OXAPROZIN,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,PTGS2,1,1,R-HSA-140180|COX reactions;R-HSA-2142770|Synthesis of 15-eicosatetraenoic acid derivatives;R-HSA-2162123|Synthesis of Prostaglandins (PG) and Thromboxanes (TX);R-HSA-6783783|Interleukin-10 signaling;R-HSA-6785807|Interleukin-4 and Interleukin-13 signaling;R-HSA-73614|Nicotinamide salvaging;R-HSA-9018677|Biosynthesis of DHA-derived SPMs;R-HSA-9018679|Biosynthesis of EPA-derived SPMs;R-HSA-9025094|Biosynthesis of DPAn-3 SPMs;R-HSA-9027604|Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives,10,2,Cyclooxygenase inhibitor,4.0,,0,0,protein_drug_candidates;pathway_drug_candidates;mechanism_drug_candidate,10.0,0.448,0.141,0.0,0.459,0.171,0.0,0.215,0.291,0.5,0.279,0.2,0.5,0.0851,0.385,1.0,0.764,0.045,0,0.657,0.0382,0.0,0.377,0.132,0,-2.44,-3.35,-1.52,-3.35,-1.52,4.025800000000003,0.674,0.0393,0.0,0.692,0.00817,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,6.0,L
CHEMBL1076903,VARENICLINE,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1,,0,0,R-HSA-629587|Highly sodium permeable postsynaptic acetylcholine nicotinic receptors;R-HSA-629594|Highly calcium permeable postsynaptic nicotinic acetylcholine receptors;R-HSA-629597|Highly calcium permeable nicotinic acetylcholine receptors,3,0,,4.0,Terminated,0,0,pathway_drug_candidates,4.0,0.526,0.104,0.0,0.121,0.428,1.0,0.31,0.196,0.0,0.117,0.41,1.0,0.127,0.299,1.0,0.647,0.0663,0,0.0805,0.427,1.0,0.304,0.141,0,-0.236,-1.61,1.14,-1.61,1.14,1.8039,0.387,0.243,0.0,0.24,0.142,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,-1.0,L
CHEMBL1077,BROMFENAC,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,PTGS2,1,1,R-HSA-140180|COX reactions;R-HSA-2142770|Synthesis of 15-eicosatetraenoic acid derivatives;R-HSA-2162123|Synthesis of Prostaglandins (PG) and Thromboxanes (TX);R-HSA-6783783|Interleukin-10 signaling;R-HSA-6785807|Interleukin-4 and Interleukin-13 signaling;R-HSA-73614|Nicotinamide salvaging;R-HSA-9018677|Biosynthesis of DHA-derived SPMs;R-HSA-9018679|Biosynthesis of EPA-derived SPMs;R-HSA-9025094|Biosynthesis of DPAn-3 SPMs;R-HSA-9027604|Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives,10,2,,4.0,,0,0,protein_drug_candidates;pathway_drug_candidates,10.0,0.726,0.0464,0.0,0.647,0.0938,0.0,0.194,0.314,1.0,0.0419,0.736,1.0,0.299,0.13,0.0,0.397,0.147,0,0.875,0.0191,0.0,0.649,0.0659,0,-3.66,-4.59,-2.74,-4.59,-2.74,2.889400000000001,0.735,0.0464,0.0,0.175,0.298,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,7.5,M
